TX_HOMICIDIO_100MIL,MUNICIPIO,REGIAO,TX_MORTALID_INFANTIL,QT_ESTABEL_SUS,TX_ESGOTO,TX_URBANIZACAO,QT_ESTABEL_SAUDE,TX_DESEMP_16MAIS,IDH,TX_ESCOLA_6A14ANOS,IDEB_EF_PUBLICO,IDEB_EM_PUBLICO,TX_ANALFAB,TX_PESSOAL_OCUP,TX_GASTOS_RJ,TX_MATRICUL_RJ,TX_DOCENTES_RJ,TX_ESCOLAS_RJ,PIB_PERCAPITA
45.95,Angra dos Reis,COSTA VERDE,6.83,58,84.9,33.3,432,8.28,0.724,96.4,5.1,3.6,5.1,18.448252545352677,1.2357382759729099,1.0897903184832216,0.009775074790402205,1.175997587697256,43161.47950677151
8.96,Aperibé,NOROESTE,27.4,8,79.1,54,16,4.19,0.692,96.7,5.9,5.1,10.6,16.654062683808082,0.08695482417648821,0.04776265315177614,8.80249178228914e-4,0.08041009146647904,15246.422401478869
53.63,Araruama,BAIXADA LITORANEA,10.66,32,63.1,10.8,194,10.43,0.718,98.3,5.1,3.8,6.9,15.809461401562256,1.4323051672451121,0.8530201686380166,0.00999667598212417,0.83425469896472,19892.399358119936
0,Areal,CENTRO SUL,38.67,11,47,50,21,9.55,0.684,98,5.6,4.5,6.8,32.51243192043571,0.12185922543043066,0.06615069637485703,7.263594617553276e-4,0.14071766006633832,24806.441550240746
41.04,Armação dos Búzios,BAIXADA LITORANEA,12.07,16,89.6,25.2,44,5.98,0.728,97.6,5.9,4.8,4.9,42.83435333700728,0.1334940258484115,0.3078551638983731,0.0041673335221047185,0.27138405869936677,73970.66345679728
34.39,Arraial do Cabo,BAIXADA LITORANEA,10.82,11,91.1,51.2,19,10.3,0.733,99.2,5,3.7,4.1,22.7633772431602,0.20820169169018304,0.19760400327361138,0.0024868578182131555,0.21107649009950746,42229.65132546661
23.67,Barra do Piraí,MEDIO PARAIBA,17.59,41,77.2,39.4,174,9.88,0.733,98.7,5.2,4.2,4.4,17.111269897979437,0.5817400208990409,0.5010259911328769,0.006050943651741416,0.7136395617650014,20439.69452383788
19.43,Barra Mansa,MEDIO PARAIBA,11.81,69,81.5,71,373,8.47,0.729,98.4,5.5,4.2,4.2,20.056483420168476,0.8021888709239406,0.9861696472386904,0.010907703103647802,0.9850236204643682,27937.632132790142
47.15,Belford Roxo,METROPOLITANA,12.96,58,81.4,38.1,146,9.93,0.684,96.2,4.3,3.5,5.1,7.0348340927428,5.333025096852365,2.848296330448171,0.02554569293461534,2.4525077897276106,15461.207755331132
11.35,Bom Jardim,SERRANA,20.3,14,54,37.9,41,3.32,0.66,97.4,5.4,4.1,9.9,20.278099652375435,0.11451093042960069,0.1742045436584959,0.00236990163369323,0.3015378429992964,24328.48095307068
13.88,Bom Jesus do Itabapoana,NOROESTE,8.57,35,80.1,27,111,8.93,0.732,98,4.6,3.5,10,17.611482944923797,0.2761734204478605,0.3097440823846015,0.003970354685018529,0.502563071665494,20465.436980888637
47.11,Cabo Frio,BAIXADA LITORANEA,15.46,54,82.3,68.7,305,9.23,0.735,96.9,5,3.8,4.8,25.592721527229163,1.187974358467515,1.3467988806808742,0.014908835731961048,1.2865614634636646,47617.77279080468
22.97,Cachoeiras de Macacu,BAIXADA LITORANEA,11.14,32,65.8,26.3,82,9.72,0.7,98.4,4.7,3.8,7.6,13.827293728816418,0.6723689925759441,0.3711532078654566,0.004518202075664496,0.5628706402653533,17417.697215992444
20.24,Cambuci,NOROESTE,6.62,8,58.5,45.4,18,7.42,0.691,98.8,5.9,4.6,13.6,12.614412788449142,0.16043777418478813,0.08654330615475177,0.0015819862853484678,0.19097396723288773,21705.694856258866
55.42,Campos dos Goytacazes,NORTE,13.74,110,57.1,34.2,992,10.17,0.716,97.3,4.6,3.5,6.8,18.779148929510455,5.091756077658447,3.2319395299368523,0.03567163627857732,3.9601970047240926,63214.35267857143
20.28,Cantagalo,SERRANA,13.74,28,71.4,58.8,45,3.59,0.709,95.4,5.6,4.5,9.3,20.889527965093215,0.12185922543043066,0.1142217443815276,0.0018158986543883192,0.23117901296612725,36578.6713605712
58.85,Carapebus,NORTE,12.12,9,78.5,23.7,19,12.12,0.713,98.7,5,4,7,15.006632099360907,0.12430865709737399,0.08191738333133519,9.110271215236313e-4,0.13066639863302842,31463.623658507175
39.88,Cardoso Moreira,NORTE,8,11,61.5,6.2,14,8.26,0.648,98.6,4.6,5,13.9,13.626082208876062,0.10655027751203486,0.08727574393512606,0.001071072426656161,0.1507689214996482,21784.661882848453
10.92,Carmo,SERRANA,9.05,17,71,23.9,33,7.71,0.696,98.6,5.3,4.8,8.5,18.85444035733053,0.1922803858550514,0.10728286014640276,0.0013911630369212208,0.21107649009950746,23935.16079873883
46.15,Casimiro de Abreu,BAIXADA LITORANEA,7.36,16,74.7,54.6,49,8.15,0.726,98.5,5.7,4.1,6.1,17.741613196865078,0.2149376287742772,0.3168371640471736,0.0031208834500843314,0.32164036586591616,48573.82442663352
12.11,Comendador Levy Gasparian,CENTRO SUL,8.62,10,81.3,32.2,23,10.7,0.685,99.4,6.2,5.3,7.7,31.972947761194032,0.06027867624972515,0.053892000892803105,7.263594617553276e-4,0.08041009146647904,45380.686800373136
44.81,Conceição de Macabu,NORTE,7.35,13,64.7,41.4,33,9.74,0.712,98.8,5.7,4.1,7.6,12.65065390204291,0.2357577979432955,0.1494173071963554,0.00169278688120945,0.27138405869936677,15177.792931019745
14.18,Cordeiro,SERRANA,18.05,14,83.4,68.9,51,6.37,0.729,97.6,5.5,5,5.3,27.094959393856904,0.07776945542545073,0.130142628765453,0.001828209831706206,0.21107649009950746,23022.831450478654
8.97,Duas Barras,SERRANA,0,10,50.2,45.6,21,3.73,0.659,97.8,5,4.8,11.8,13.211311589174185,0.06184814959031908,0.07031402691593194,0.001163406256540313,0.14071766006633832,18177.273681471204
